PREGUNTA,RESPUESTA_A,RESPUESTA_B,RESPUESTA_C,RESPUESTA_D,RESPUESTA_CORRECTA,BLOQUE,AUTOR,PROMOCION,ANNO_CREACION,OBSERVACIONES,NUMERO_TEST,NUMERO_PREGUNTA,ID,TEMAS,REVISADA,ESTADO,REVISOR,SENTENCIA,,EXAMEN
"Las funciones ""hash"" en los procesos de firma electrónica se emplean para:",Garantizar la integridad de lo firmado.,Asegurar la confidencialidad de lo firmado.,Autenticar al firmante.,Asegurar el no repudio del firmante.,A,B2,A.deGrado,PREPARATIC24,2016,,,,,76,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale la respuesta FALSA:,HTTPS es la versión segura del protocolo HTTP.,Utiliza cifrado basado en SSL.,El puerto estándar es el 443.,Basta con que la dirección web empiece por https para que sea una página segura.,D,B4,A.deGrado,PREPARATIC24,2016,,,,,120,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Uno de los grupos de tecnologías consideradas en el ámbito de la Web 2.0 es AJAX (Asynchronous JavaScript And XML). Indique cuál de las siguientes afirmaciones NO se corresponde con este grupo de tecnologías.,Es una técnica de desarrollo web para crear aplicaciones interactivas o RIA (Rich Internet Applications),Estas aplicaciones se ejecutan en el servidor y mantiene comunicación asíncrona con el cliente en segundo plano.,"En los entornos RIA no se producen recargas de página, ya que desde el principio se carga toda la aplicación y sólo se produce comunicación con el servidor cuando se necesitan datos externos como los de una Base de Datos o de otros ficheros externos.",Lleva consigo la utilización de XHTML (o HTML) y hojas de estilos en cascada (CSS) para el diseño que acompaña a la información.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,74,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Interprete el funcionamiento de aplicar la máscara de subred 255.255.240.0 a la dirección IP 132.90.132.5:,Host 5 de la subred 132.90.132.0,Host 4.1 de la subred 132.90.128.4,Host 4 de la subred 132.90.128.5,Host 4.5 de la subred 132.90.128.0,D,B4,A.deGrado,PREPARATIC24,2016,,,,,109,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Qué servicio xDSL permite disponer de circuitos simétricos de 2 Mbps orientados a fines profesionales o de negocios?,HDSL,RADSL,ADSL,ZDSL,A,B4,A.deGrado,PREPARATIC24,2016,,,,,106,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"¿Cuál es la velocidad máxima de bajada con el estándar G.992.5, conocido como ADSL2+?",10 Mbps,12 Mbps,2 Mbps,24 Mbps,D,B4,A.deGrado,PREPARATIC24,2016,,,,,106,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál de los siguientes es un estándar de transmisión de datos sobre sistemas de televisión por cable (CATV)?,Data Over Cable Service Interface Specifications (DOCSIS),National Television System Committee (NTSC),ATP,Xtream,A,B4,A.deGrado,PREPARATIC24,2016,,,,,115,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"En voz sobre IP, integración de voz y datos, señale cuál es el protocolo que se encarga de los mensajes de control (participantes, medidas de calidad, etc.):",UDP,RTTP,G729,RTCP,D,B4,A.deGrado,PREPARATIC24,2016,,,,,110,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"¿Cuál de los siguientes es un estándar, cada vez más utilizado en telefonía IP, para la conexión de los terminales a la infraestructura de red del edificio donde se pretende implantar?",PCM,IEEE 802.3af,G.730,IEEE 802.11b,B,B4,A.deGrado,PREPARATIC24,2016,,,,,110,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Entre las ventajas del protocolo de control MGCP (Media Gateway Control Protocol) NO se encuentra:,Escalabilidad,Dependencia del fabricante,Fiabilidad,Tiempo de desarrollo reducido,B,B4,A.deGrado,PREPARATIC24,2016,,,,,110,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Cuál es la velocidad máxima teórica a la que se puede transmitir en HSDPA (High Speed Downlink Packet Access)?,"2,5 Mbps","14,4 Mbps","3,5 Mbps",1 Mbps,B,B4,A.deGrado,PREPARATIC24,2016,,,,,117,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
"La tecnología de telefonía móvil basada en ""femtocell"" o microantenas pretende dar solución a todos los problemas siguientes, excepto:",Mejorar la cobertura en grandes edificios.,"Enrutar el tráfico a través de las redes convencionales de banda ancha, en vez de sobre las celdas de los operadores de telefonía móvil.",Poder transmitir bajo demanda video en alta definición en formato HDMI.,"Reducir el consumo de batería de los terminales móviles, alargando así su vida útil.",C,B4,A.deGrado,PREPARATIC24,2016,,,,,117,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
El estándar utilizado en España para la transmisión de TDT (Televisión Digital Terrestre) es:,DVB-T,DVB-S,COFDM,HDTV,A,B4,A.deGrado,PREPARATIC24,2016,,,,,115,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
¿Qué tipo de modulación se utiliza en el estándar TDT (Televisión Digital Terrestre) utilizado en España?,QPSK,QAM,COFDM,G.711,C,B4,A.deGrado,PREPARATIC24,2016,,,,,115,,,,INSERT,,Examen TIC A2 Promoción Interna 2008
Señale la afirmación correcta. Corresponde al Rey:,Nombrar a los miembros del Gobierno a propuesta de las Cortes Generales.,Nombrar y separar a los miembros del Gobierno a propuesta de las Cortes Generales.,Nombrar y separar a los miembros del Gobierno previa consulta al Presidente del Gobierno.,"Nombrar y separar a los miembros del Gobierno, a propuesta de su Presidente.",D,A1,A.deGrado,PREPARATIC24,2016,,,,,1,,,,INSERT,,Examen TIC MAP A2 2008
Señale la afirmación correcta:,"La aprobación, modificación o derogación de las leyes orgánicas exigirá mayoría absoluta de las Cortes Generales, en una votación final sobre el conjunto del proyecto.",Las disposiciones del Gobierno que contengan legislación delegada recibirán el título de Decretos-leyes.,"Son leyes orgánicas las relativas al desarrollo de los derechos fundamentales y de las libertades públicas, las que aprueben los Estatutos de Autonomía y el régimen electoral general y las demás previstas en la Constitución.",La delegación legislativa deberá otorgarse mediante una ley orgánica cuando su objeto sea la formación de textos articulados o por una ley ordinaria cuando se trate de refundir varios textos legales en uno,C,A1,A.deGrado,PREPARATIC24,2016,,,,,1,,,,INSERT,,Examen TIC MAP A2 2008
Señale cómo se reúnen los miembros del Gobierno:,En Consejo de Ministros y en Comisiones Delegadas del Gobierno.,En Consejo de Ministros y en Consejo de Vicepresidentes.,En Consejo de Ministros y en Comisiones Delegadas de las Cortes Generales.,En Comisiones Delegadas del Gobierno y Consejo de Estado.,A,A1,A.deGrado,PREPARATIC24,2016,,,,,1,,,,INSERT,,Examen TIC MAP A2 2008
Señale la afirmación correcta. La tramitación de las proposiciones de ley se regulará por:,Ley Orgánica.,Lo dispuesto en la normativa comunitaria.,Los Reglamentos de las Cámaras.,"El Reglamento del Congreso de los Diputados, exclusivamente.",C,A1,A.deGrado,PREPARATIC24,2016,,,,,1,,,,INSERT,,Examen TIC MAP A2 2008
"Señale cómo es evaluado el Plan de Igualdad en la Administración General del Estado, previsto en la Ley Orgánica 3/2007, de 22 de marzo, para la Igualdad efectiva de mujeres y hombres:",Anualmente por el Consejo de Ministros,Anualmente por la Agencia de Evaluación de Políticas Públicas y Calidad de los Servicios,Al final de cada legislatura por el Gobierno,Al final de cada legislatura por la Agencia de Evaluación de Políticas Públicas y Calidad de los Servicios,A,A3,A.deGrado,PREPARATIC24,2016,,,,,14,,,,INSERT,,Examen TIC MAP A2 2008
"De acuerdo con l a Ley Orgánica de Protección de Datos (LOPD) señale, de las siguientes opciones, el tipo de fichero que se incluye en el alcance de la Ley:",Ficheros mantenidos por personas físicas en el ejercicio de actividades exclusivamente personales o domésticas.,Ficheros sometidos a la normativa sobre protección de materias clasificadas.,Ficheros establecidos para la investigación del terrorismo y de formas graves de delincuencia organizada.,"Ficheros de titularidad pública, con la publicación de la disposición de regulación correspondiente.",D,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC MAP A2 2008
El Comité Sectorial de Administración Electrónica depende de:,La Conferencia Sectorial de Administración Pública.,El Director General para el impulso de la Administración electrónica.,La Comisión Permanente del Consejo Superior de Administración Electrónica.,Presidencia del Gobierno.,A,A2,A.deGrado,PREPARATIC24,2016,,,,,7,,,,INSERT,,Examen TIC MAP A2 2008
El encaminamiento mediante algoritmos que se ejecutan en los nodos de la red con los últimos datos que han recibido sobre su estado y convergen rápidamente optimizando sus nuevas rutas se denomina:,Encaminamiento adaptativo distribuido.,Encaminamiento adaptativo centralizado.,Encaminamiento adaptativo aislado.,Encaminamiento determinístico estático.,A,B4,A.deGrado,PREPARATIC24,2016,,,,,102,,,,INSERT,,Examen TIC MAP A2 2008
Señale cómo se denomina el proceso que administra el almacenamiento en un sistema de directorio electrónico:,DSA,UPN,DSE,DAP,A,B2,A.deGrado,PREPARATIC24,2016,,,,,77,,,,INSERT,,Examen TIC MAP A2 2008
Seleccione la respuesta correcta con respecto a los diferentes tipos de sistemas de gestión de memoria (SGM):,Los SGM por paginación no producen fragmentación interna.,Los SGM por segmentación no producen fragmentación externa.,Los SGM por paginación producen fragmentación externa.,Los SGM por segmentación no producen fragmentación interna.,D,B2,A.deGrado,PREPARATIC24,2016,,,,,56,,,,INSERT,,Examen TIC MAP A2 2008
Los Sistemas Operativos Monolíticos tienen la estructura de los primeros sistemas operativos constituidos fundamentalmente por un solo programa compuesto de un conjunto de rutinas entrelazadas de tal forma que cada una puede llamar a cualquier otra. Señale la respuesta FALSA respecto a las características fundamentales de este tipo de estructura:,Construcción del programa final a base de módulos compilados separadamente que se unen a través del enlazador (linker).,"Buena definición de parámetros de enlace entre las distintas rutinas existentes, lo que puede provocar mucho acoplamiento.","Tienen protecciones y privilegios en las rutinas para manejar diferentes aspectos de los recursos del ordenador, como memoria, disco, etc.","Generalmente están hechos a medida, por lo que son eficientes y rápidos en su ejecución y gestión, pero por lo mismo carecen de flexibilidad para soportar diferentes ambientes de trabajo o tipos de aplicaciones.",C,B2,A.deGrado,PREPARATIC24,2016,,,,,56,,,,INSERT,,Examen TIC MAP A2 2008
"En un sistema UNIX, indique en cuál de los siguientes componentes se realiza la asignación de memoria principal a un proceso en ejecución:",Sistema de archivo,Gestión de memoria,Kernel o núcleo,Entrada / salida,C,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC MAP A2 2008
Señale la respuesta correcta en relación a la función del comando Grep de Linux?,Partición del disco en sectores.,Sirve para buscar cadenas de texto dentro de un archivo o dentro de otra cadena.,Utilidad para instalar programas.,Monitoriza el sistema.,B,B2,A.deGrado,PREPARATIC24,2016,,,,,57,,,,INSERT,,Examen TIC MAP A2 2008
Señale cómo se denomina el conjunto de reglas que deben de seguir los lenguajes de programación para que sean compatibles con .NET se denomina:,CLS,MSIL,Bytecode,JIT,A,B2,A.deGrado,PREPARATIC24,2016,,,,,63,,,,INSERT,,Examen TIC MAP A2 2008
¿El lenguaje de programación java tiene APIs para el protocolo de comunicaciones seguras Secure Sockets Layer (SSL)?.,"Sí, por ejemplo, la Java Secure Socket Extensión (JSSE) que incluye clases que pueden ser instanciadas para crear canales seguros.",En la actualidad para realizar las funciones de encriptación de la información solo está disponible la clase SSLSocket.,Java solo admite SSL para programar clientes web.,"Sí, cuenta con las CRL o listas de revocación de certificados.",A,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC MAP A2 2008
¿Cuándo utilizaría el API JDBC?,Cuando tenga que declarar los localizadores a base de datos o URL.,Cuando quiera utilizar un dialecto SQL estándar contra cualquier base de datos.,Cuando tuviera que realizar operaciones sobre una base de datos desde el lenguaje de programación JAVA.,Cuando tuviera que realizar operaciones sobre una base de datos desde el lenguaje de programación NATURAL.,C,B2,A.deGrado,PREPARATIC24,2016,,,,,64,,,,INSERT,,Examen TIC MAP A2 2008
"La Metodología de Análisis y Gestión de Riesgos de los Sistemas de Información, MAGERIT, establece unas dimensiones de valoración de activos. Determine cuál de las siguientes respuestas es correcta:","Disponibilidad, integridad de los datos y confidencialidad de los datos.","Disponibilidad, integridad de los datos, confidencialidad de los datos, eficacia y eficiencia.","Eficacia, eficiencia, disponibilidad, integridad, confidencialidad, conformidad y fiabilidad.","Disponibilidad, integridad de los datos, confidencialidad de los datos, autenticidad de los usuarios del servicio, autenticidad del origen de los datos, trazabilidad del servicio, trazabilidad de los datos.",D,B1,A.deGrado,PREPARATIC24,2016,,,,,45,,,,INSERT,,Examen TIC MAP A2 2008
¿Cuál es el objetivo de la Auditoría de Sistemas de Información ó Auditoría Informática?,Definir e implementar el Sistema de Gestión de Riesgos de la organización.,Establecer la política de control de las organizaciones.,La supervisión de los controles efectivamente implementados en una organización y la determinación de la eficiencia de los mismos.,Establecer la política de seguridad de las organizaciones.,C,B1,A.deGrado,PREPARATIC24,2016,,,,,36,,,,INSERT,,Examen TIC MAP A2 2008
"Según el Real Decreto 1720/2007, de 21 de diciembre, por el que se aprueba el Reglamento de desarrollo de la Ley Orgánica 15/1999, de 13 de diciembre, de protección de datos de carácter personal, la realización de una auditoría interna o externa que verifique el cumplimiento del reglamento es una medida de seguridad de:",Nivel bajo para ficheros y tratamientos automatizados y nivel medio para ficheros y tratamientos no automatizados.,Nivel medio para ficheros y tratamientos automatizados y nivel medio para ficheros y tratamientos no automatizados.,Nivel bajo para ficheros y tratamientos automatizados y no está contemplado para ficheros y tratamientos no automatizados.,Nivel medio para ficheros y tratamientos automatizados y no está contemplada para ficheros y tratamientos no automatizados.,B,B1,A.deGrado,PREPARATIC24,2016,,,,,35,,,,INSERT,,Examen TIC MAP A2 2008
"En la terminología de recuperación de sistemas ante desastres, el tiempo que cuantifica la cantidad perdida de datos hasta el momento de la interrupción, se denomina:",MTBF (Tiempo Medio Entre Fallos),RPO (Objetivo de Punto de Recuperación),RTO (Objetivo de Tiempo de Recuperación),SDO (Objetivo de Entrega del Servicio),B,B1,A.deGrado,PREPARATIC24,2016,,,,,45,,,,INSERT,,Examen TIC MAP A2 2008
